Entry	Entry name	Gene names	Organism
Q2F3K1	Q2F3K1_HUMAN	CASR	Homo sapiens (Human)
Q2F3K2	Q2F3K2_HUMAN	CASR	Homo sapiens (Human)
Q2F3K3	Q2F3K3_HUMAN	CASR	Homo sapiens (Human)
Q2F3K4	Q2F3K4_HUMAN	CASR	Homo sapiens (Human)
Q2F3K5	Q2F3K5_HUMAN	CASR	Homo sapiens (Human)
Q2F3K6	Q2F3K6_HUMAN	CASR	Homo sapiens (Human)
Q86UN7	Q86UN7_HUMAN	CASR	Homo sapiens (Human)
P06307	CCKN_HUMAN	CCK	Homo sapiens (Human)
Q6FG82	Q6FG82_HUMAN	CCK hCG_28858	Homo sapiens (Human)
P32238	CCKAR_HUMAN	CCKAR CCKRA	Homo sapiens (Human)
A0SEH4	A0SEH4_HUMAN	CCKBR	Homo sapiens (Human)
A0SEH5	A0SEH5_HUMAN	CCKBR	Homo sapiens (Human)
A0SEH6	A0SEH6_HUMAN	CCKBR	Homo sapiens (Human)
A0SEH7	A0SEH7_HUMAN	CCKBR	Homo sapiens (Human)
E9PIC8	E9PIC8_HUMAN	CCKBR	Homo sapiens (Human)
E9PJ49	E9PJ49_HUMAN	CCKBR	Homo sapiens (Human)
E9PPL7	E9PPL7_HUMAN	CCKBR	Homo sapiens (Human)
P32239	GASR_HUMAN	CCKBR CCKRB	Homo sapiens (Human)
A0A087WUE5	A0A087WUE5_HUMAN	CCL16	Homo sapiens (Human)
A0A087WUU4	A0A087WUU4_HUMAN	CCL16	Homo sapiens (Human)
O15467	CCL16_HUMAN	CCL16 ILINCK NCC4 SCYA16	Homo sapiens (Human)
Q5VZ75	Q5VZ75_HUMAN	CCL19	Homo sapiens (Human)
Q6IBD6	Q6IBD6_HUMAN	CCL19 hCG_20476	Homo sapiens (Human)
Q99731	CCL19_HUMAN	CCL19 ELC MIP3B SCYA19	Homo sapiens (Human)
P78556	CCL20_HUMAN	CCL20 LARC MIP3A SCYA20	Homo sapiens (Human)
O00585	CCL21_HUMAN	CCL21 SCYA21 UNQ784/PRO1600	Homo sapiens (Human)
Q5VZ73	Q5VZ73_HUMAN	CCL21	Homo sapiens (Human)
Q6ICR7	Q6ICR7_HUMAN	CCL21 hCG_20472	Homo sapiens (Human)
C9JDZ7	C9JDZ7_HUMAN	CCL25	Homo sapiens (Human)
F8VWI0	F8VWI0_HUMAN	CCL25	Homo sapiens (Human)
O15444	CCL25_HUMAN	CCL25 SCYA25 TECK	Homo sapiens (Human)
Q08AK2	Q08AK2_HUMAN	CCL25	Homo sapiens (Human)
Q5VZ77	Q5VZ77_HUMAN	CCL27 hCG_20477	Homo sapiens (Human)
Q9Y4X3	CCL27_HUMAN	CCL27 ILC SCYA27	Homo sapiens (Human)
A0N0Q3	A0N0Q3_HUMAN	CCL28 hCG_36937	Homo sapiens (Human)
D6RC73	D6RC73_HUMAN	CCL28 hCG_36937	Homo sapiens (Human)
Q9NRJ3	CCL28_HUMAN	CCL28 SCYA28	Homo sapiens (Human)
A0A075B7C5	A0A075B7C5_HUMAN	CCL5	Homo sapiens (Human)
D0EI67	D0EI67_HUMAN	CCL5 hCG_32592	Homo sapiens (Human)
P13501	CCL5_HUMAN	CCL5 D17S136E SCYA5	Homo sapiens (Human)
P32246	CCR1_HUMAN	CCR1 CMKBR1 CMKR1 SCYAR1	Homo sapiens (Human)
Q5U003	Q5U003_HUMAN	CCR1 hCG_15324	Homo sapiens (Human)
K7EPC9	K7EPC9_HUMAN	CCR10	Homo sapiens (Human)
K7ER70	K7ER70_HUMAN	CCR10	Homo sapiens (Human)
O00590	ACKR2_HUMAN	ACKR2 CCBP2 CCR10 CMKBR9 D6	Homo sapiens (Human)
P46092	CCR10_HUMAN	CCR10 GPR2	Homo sapiens (Human)
A0A024R2Q0	A0A024R2Q0_HUMAN	CCR2 hCG_14621	Homo sapiens (Human)
B4XH68	B4XH68_HUMAN	CCR2	Homo sapiens (Human)
B4XH69	B4XH69_HUMAN	CCR2	Homo sapiens (Human)
E9PH76	E9PH76_HUMAN	CCR2	Homo sapiens (Human)
L7RER4	L7RER4_HUMAN	CCR2	Homo sapiens (Human)
L7REX9	L7REX9_HUMAN	CCR2	Homo sapiens (Human)
P41597	CCR2_HUMAN	CCR2 CMKBR2	Homo sapiens (Human)
A0A024R2Z3	A0A024R2Z3_HUMAN	CCR3 hCG_15325	Homo sapiens (Human)
P51677	CCR3_HUMAN	CCR3 CMKBR3	Homo sapiens (Human)
Q8TDP4	Q8TDP4_HUMAN	CCR3	Homo sapiens (Human)
Q8TDP5	Q8TDP5_HUMAN	CCR3	Homo sapiens (Human)
Q8TDP7	Q8TDP7_HUMAN	CCR3	Homo sapiens (Human)
Q8TDP8	Q8TDP8_HUMAN	CCR3	Homo sapiens (Human)
Q96T96	Q96T96_HUMAN	CCR3	Homo sapiens (Human)
Q96T97	Q96T97_HUMAN	CCR3	Homo sapiens (Human)
A0N0Q1	A0N0Q1_HUMAN	CCR4 hCG_1776165	Homo sapiens (Human)
P51679	CCR4_HUMAN	CCR4 CMKBR4	Homo sapiens (Human)
Q9UK39	NOCT_HUMAN	NOCT CCR4 CCRN4L NOC	Homo sapiens (Human)
Q9ULM6	CNOT6_HUMAN	CNOT6 CCR4 CCR4a KIAA1194	Homo sapiens (Human)
A0A089G3J8	A0A089G3J8_HUMAN	CCR5	Homo sapiens (Human)
A0A089G3K0	A0A089G3K0_HUMAN	CCR5	Homo sapiens (Human)
A0A089G3K4	A0A089G3K4_HUMAN	CCR5	Homo sapiens (Human)
A0A089G3L9	A0A089G3L9_HUMAN	CCR5	Homo sapiens (Human)
A0A089G3M1	A0A089G3M1_HUMAN	CCR5	Homo sapiens (Human)
A0A089G3M5	A0A089G3M5_HUMAN	CCR5	Homo sapiens (Human)
A0A089G3M8	A0A089G3M8_HUMAN	CCR5	Homo sapiens (Human)
A0A089G3N1	A0A089G3N1_HUMAN	CCR5	Homo sapiens (Human)
A0A089G3N4	A0A089G3N4_HUMAN	CCR5	Homo sapiens (Human)
A0A089G3P0	A0A089G3P0_HUMAN	CCR5	Homo sapiens (Human)
A0A089G3P4	A0A089G3P4_HUMAN	CCR5	Homo sapiens (Human)
A0A089G5M8	A0A089G5M8_HUMAN	CCR5	Homo sapiens (Human)
A0A089G5N2	A0A089G5N2_HUMAN	CCR5	Homo sapiens (Human)
A0A089G5Q8	A0A089G5Q8_HUMAN	CCR5	Homo sapiens (Human)
A0A089G5R2	A0A089G5R2_HUMAN	CCR5	Homo sapiens (Human)
A0A089G5R6	A0A089G5R6_HUMAN	CCR5	Homo sapiens (Human)
A0A089G5R7	A0A089G5R7_HUMAN	CCR5	Homo sapiens (Human)
A0A089G5S5	A0A089G5S5_HUMAN	CCR5	Homo sapiens (Human)
A0A089G5S8	A0A089G5S8_HUMAN	CCR5	Homo sapiens (Human)
A0A089G6P0	A0A089G6P0_HUMAN	CCR5	Homo sapiens (Human)
A0A089G6P4	A0A089G6P4_HUMAN	CCR5	Homo sapiens (Human)
A0A089G6Q9	A0A089G6Q9_HUMAN	CCR5	Homo sapiens (Human)
A0A089G6R5	A0A089G6R5_HUMAN	CCR5	Homo sapiens (Human)
A0A089G6R7	A0A089G6R7_HUMAN	CCR5	Homo sapiens (Human)
A0A089G6S0	A0A089G6S0_HUMAN	CCR5	Homo sapiens (Human)
A0A089G6S3	A0A089G6S3_HUMAN	CCR5	Homo sapiens (Human)
A0A089G6S6	A0A089G6S6_HUMAN	CCR5	Homo sapiens (Human)
A0A089G6S9	A0A089G6S9_HUMAN	CCR5	Homo sapiens (Human)
A0A089G7F7	A0A089G7F7_HUMAN	CCR5	Homo sapiens (Human)
A0A089G7G0	A0A089G7G0_HUMAN	CCR5	Homo sapiens (Human)
A0A089G7G7	A0A089G7G7_HUMAN	CCR5	Homo sapiens (Human)
A0A089G7G9	A0A089G7G9_HUMAN	CCR5	Homo sapiens (Human)
A0A089G7H7	A0A089G7H7_HUMAN	CCR5	Homo sapiens (Human)
A0A089G7H9	A0A089G7H9_HUMAN	CCR5	Homo sapiens (Human)
A0A089G7J0	A0A089G7J0_HUMAN	CCR5	Homo sapiens (Human)
A0A089G7J3	A0A089G7J3_HUMAN	CCR5	Homo sapiens (Human)
A0A089G7J6	A0A089G7J6_HUMAN	CCR5	Homo sapiens (Human)
A0A089H947	A0A089H947_HUMAN	CCR5	Homo sapiens (Human)
A0A089H953	A0A089H953_HUMAN	CCR5	Homo sapiens (Human)
A0A089H958	A0A089H958_HUMAN	CCR5	Homo sapiens (Human)
A0A089H960	A0A089H960_HUMAN	CCR5	Homo sapiens (Human)
A0A089H970	A0A089H970_HUMAN	CCR5	Homo sapiens (Human)
A0A089H974	A0A089H974_HUMAN	CCR5	Homo sapiens (Human)
A0A089H976	A0A089H976_HUMAN	CCR5	Homo sapiens (Human)
A0A089H978	A0A089H978_HUMAN	CCR5	Homo sapiens (Human)
A0A089H983	A0A089H983_HUMAN	CCR5	Homo sapiens (Human)
A0A089H987	A0A089H987_HUMAN	CCR5	Homo sapiens (Human)
A0A089H989	A0A089H989_HUMAN	CCR5	Homo sapiens (Human)
A0A089H9A2	A0A089H9A2_HUMAN	CCR5	Homo sapiens (Human)
A1A490	A1A490_HUMAN	CCR5	Homo sapiens (Human)
B0EX00	B0EX00_HUMAN	CCR5	Homo sapiens (Human)
B0EX01	B0EX01_HUMAN	CCR5	Homo sapiens (Human)
B2KIU0	B2KIU0_HUMAN	CCR5	Homo sapiens (Human)
B2KIU1	B2KIU1_HUMAN	CCR5	Homo sapiens (Human)
B2KIU2	B2KIU2_HUMAN	CCR5	Homo sapiens (Human)
B2KKJ9	B2KKJ9_HUMAN	CCR5	Homo sapiens (Human)
B8LFN8	B8LFN8_HUMAN	CCR5	Homo sapiens (Human)
B8LFN9	B8LFN9_HUMAN	CCR5	Homo sapiens (Human)
B8LFP0	B8LFP0_HUMAN	CCR5	Homo sapiens (Human)
E7BJ57	E7BJ57_HUMAN	CCR5	Homo sapiens (Human)
H9MHK7	H9MHK7_HUMAN	CCR5	Homo sapiens (Human)
H9MHP3	H9MHP3_HUMAN	CCR5	Homo sapiens (Human)
H9MHP4	H9MHP4_HUMAN	CCR5	Homo sapiens (Human)
H9MHP5	H9MHP5_HUMAN	CCR5	Homo sapiens (Human)
H9MHP6	H9MHP6_HUMAN	CCR5	Homo sapiens (Human)
H9MHP8	H9MHP8_HUMAN	CCR5	Homo sapiens (Human)
H9MHP9	H9MHP9_HUMAN	CCR5	Homo sapiens (Human)
J7HDE9	J7HDE9_HUMAN	CCR5	Homo sapiens (Human)
J7HDH2	J7HDH2_HUMAN	CCR5	Homo sapiens (Human)
J7HDH6	J7HDH6_HUMAN	CCR5	Homo sapiens (Human)
J7HGK0	J7HGK0_HUMAN	CCR5	Homo sapiens (Human)
J7HJP1	J7HJP1_HUMAN	CCR5	Homo sapiens (Human)
J7HJP8	J7HJP8_HUMAN	CCR5	Homo sapiens (Human)
J7HKA4	J7HKA4_HUMAN	CCR5	Homo sapiens (Human)
L7S2Y4	L7S2Y4_HUMAN	CCR5	Homo sapiens (Human)
O14694	O14694_HUMAN	CCR5	Homo sapiens (Human)
P51681	CCR5_HUMAN	CCR5 CMKBR5	Homo sapiens (Human)
Q38L21	Q38L21_HUMAN	CCR5 hCG_15321	Homo sapiens (Human)
Q3L3Q6	Q3L3Q6_HUMAN	CCR5	Homo sapiens (Human)
Q5EKM8	Q5EKM8_HUMAN	CCR5	Homo sapiens (Human)
Q5EKM9	Q5EKM9_HUMAN	CCR5	Homo sapiens (Human)
Q5EKN0	Q5EKN0_HUMAN	CCR5	Homo sapiens (Human)
Q5KSY4	Q5KSY4_HUMAN	CCR5	Homo sapiens (Human)
Q5KSY5	Q5KSY5_HUMAN	CCR5	Homo sapiens (Human)
Q5QIN9	Q5QIN9_HUMAN	CCR5	Homo sapiens (Human)
Q5QIP0	Q5QIP0_HUMAN	CCR5	Homo sapiens (Human)
Q5QIP1	Q5QIP1_HUMAN	CCR5	Homo sapiens (Human)
Q9P1T4	Q9P1T4_HUMAN	CCR5	Homo sapiens (Human)
Q9P1T5	Q9P1T5_HUMAN	CCR5	Homo sapiens (Human)
Q9P1T8	Q9P1T8_HUMAN	CCR5	Homo sapiens (Human)
Q9UBJ7	Q9UBJ7_HUMAN	CCR5	Homo sapiens (Human)
Q9UBT9	Q9UBT9_HUMAN	CCR5	Homo sapiens (Human)
Q9UN23	Q9UN23_HUMAN	CCR5	Homo sapiens (Human)
Q9UN24	Q9UN24_HUMAN	CCR5	Homo sapiens (Human)
Q9UN25	Q9UN25_HUMAN	CCR5	Homo sapiens (Human)
Q9UN26	Q9UN26_HUMAN	CCR5	Homo sapiens (Human)
Q9UN27	Q9UN27_HUMAN	CCR5	Homo sapiens (Human)
Q9UN28	Q9UN28_HUMAN	CCR5	Homo sapiens (Human)
O00421	CCRL2_HUMAN	CCRL2 CCR11 CCR6 CKRX CRAM HCR	Homo sapiens (Human)
P51684	CCR6_HUMAN	CCR6 CKRL3 CMKBR6 GPR29 STRL22	Homo sapiens (Human)
A0N0Q0	A0N0Q0_HUMAN	CCR7 hCG_1643840	Homo sapiens (Human)
J3KSS9	J3KSS9_HUMAN	CCR7	Homo sapiens (Human)
J3KTN5	J3KTN5_HUMAN	CCR7	Homo sapiens (Human)
P32248	CCR7_HUMAN	CCR7 CMKBR7 EBI1 EVI1	Homo sapiens (Human)
C9JIP9	C9JIP9_HUMAN	CCR8	Homo sapiens (Human)
P51685	CCR8_HUMAN	CCR8 CKRL1 CMKBR8 CMKBRL2	Homo sapiens (Human)
C9JWC0	C9JWC0_HUMAN	CCR9	Homo sapiens (Human)
P51686	CCR9_HUMAN	CCR9 GPR28	Homo sapiens (Human)
Q9UN87	Q9UN87_HUMAN	CCR9	Homo sapiens (Human)
A0A024RAE4	A0A024RAE4_HUMAN	CDC42 hCG_1981007	Homo sapiens (Human)
A0A024RAE6	A0A024RAE6_HUMAN	CDC42 hCG_1981007	Homo sapiens (Human)
P60953	CDC42_HUMAN	CDC42	Homo sapiens (Human)
Q5JYX0	Q5JYX0_HUMAN	CDC42	Homo sapiens (Human)
A0A087WYZ4	A0A087WYZ4_HUMAN	CGA	Homo sapiens (Human)
A0A0D9SFJ6	A0A0D9SFJ6_HUMAN	CGA	Homo sapiens (Human)
A0A0D9SGA7	A0A0D9SGA7_HUMAN	CGA hCG_33165	Homo sapiens (Human)
A0A0R4J2F0	A0A0R4J2F0_HUMAN	CGA	Homo sapiens (Human)
C0KRQ8	C0KRQ8_HUMAN	CGA	Homo sapiens (Human)
P01215	GLHA_HUMAN	CGA	Homo sapiens (Human)
Q6I9S8	Q6I9S8_HUMAN	CGA FSHA GPA1 hCG_33165	Homo sapiens (Human)
Q96QJ4	Q96QJ4_HUMAN	CGA	Homo sapiens (Human)
F5GZF8	F5GZF8_HUMAN	CHRM1	Homo sapiens (Human)
P11229	ACM1_HUMAN	CHRM1	Homo sapiens (Human)
Q53XZ3	Q53XZ3_HUMAN	CHRM1 hCG_2020133	Homo sapiens (Human)
A4D1Q0	A4D1Q0_HUMAN	CHRM2 hCG_1641225 tcag7.414	Homo sapiens (Human)
P08172	ACM2_HUMAN	CHRM2	Homo sapiens (Human)
Q6SL56	Q6SL56_HUMAN	CHRM2	Homo sapiens (Human)
Q6SL59	Q6SL59_HUMAN	CHRM2	Homo sapiens (Human)
Q86SJ1	Q86SJ1_HUMAN	CHRM2	Homo sapiens (Human)
Q96RH0	Q96RH0_HUMAN	CHRM2	Homo sapiens (Human)
A0A024R3S2	A0A024R3S2_HUMAN	CHRM3 hCG_1641761	Homo sapiens (Human)
B1AN12	B1AN12_HUMAN	CHRM3	Homo sapiens (Human)
P20309	ACM3_HUMAN	CHRM3	Homo sapiens (Human)
Q8NG01	Q8NG01_HUMAN	CHRM3	Homo sapiens (Human)
Q96RG9	Q96RG9_HUMAN	CHRM3	Homo sapiens (Human)
A0A024R9I2	A0A024R9I2_HUMAN	CHRM5 hCG_37416	Homo sapiens (Human)
H0YKC0	H0YKC0_HUMAN	CHRM5	Homo sapiens (Human)
P08912	ACM5_HUMAN	CHRM5	Homo sapiens (Human)
Q6NUM3	Q6NUM3_HUMAN	CHRM5	Homo sapiens (Human)
Q8IVW0	Q8IVW0_HUMAN	CHRM5	Homo sapiens (Human)
F8W187	F8W187_HUMAN	CNR1	Homo sapiens (Human)
F8W908	F8W908_HUMAN	CNR1	Homo sapiens (Human)
P21554	CNR1_HUMAN	CNR1 CNR	Homo sapiens (Human)
Q9BYY6	Q9BYY6_HUMAN	CNR1	Homo sapiens (Human)
S5TLS4	S5TLS4_HUMAN	CNR1	Homo sapiens (Human)
V5KA96	V5KA96_HUMAN	CNR1	Homo sapiens (Human)
A0A024RAH7	A0A024RAH7_HUMAN	CNR2 hCG_1739239	Homo sapiens (Human)
P34972	CNR2_HUMAN	CNR2 CB2A CB2B	Homo sapiens (Human)
A0A0S2Z3P5	A0A0S2Z3P5_HUMAN	CRH	Homo sapiens (Human)
A0A0S2Z478	A0A0S2Z478_HUMAN	CRH	Homo sapiens (Human)
P06850	CRF_HUMAN	CRH	Homo sapiens (Human)
A0A090N7T4	A0A090N7T4_HUMAN	CRHR2 hCG_1811942 tcag7.680	Homo sapiens (Human)
B3SXS9	B3SXS9_HUMAN	CRHR2	Homo sapiens (Human)
C9JZM9	C9JZM9_HUMAN	CRHR2	Homo sapiens (Human)
F2Z2M6	F2Z2M6_HUMAN	CRHR2	Homo sapiens (Human)
Q13324	CRFR2_HUMAN	CRHR2 CRF2R CRH2R	Homo sapiens (Human)
Q99432	Q99432_HUMAN	CRHR2 hCG_1811942	Homo sapiens (Human)
P09341	GROA_HUMAN	CXCL1 GRO GRO1 GROA MGSA SCYB1	Homo sapiens (Human)
A0A024RDA4	A0A024RDA4_HUMAN	CXCL10 hCG_23842	Homo sapiens (Human)
P02778	CXL10_HUMAN	CXCL10 INP10 SCYB10	Homo sapiens (Human)
L8E879	L8E879_HUMAN	CXCL11	Homo sapiens (Human)
O14625	CXL11_HUMAN	CXCL11 ITAC SCYB11 SCYB9B	Homo sapiens (Human)
A0A024R7W4	A0A024R7W4_HUMAN	CXCL12 hCG_25667	Homo sapiens (Human)
P48061	SDF1_HUMAN	CXCL12 SDF1 SDF1A SDF1B	Homo sapiens (Human)
L8E878	L8E878_HUMAN	CXCL13	Homo sapiens (Human)
O43927	CXL13_HUMAN	CXCL13 BCA1 BLC SCYB13	Homo sapiens (Human)
Q53X90	Q53X90_HUMAN	CXCL13 hCG_22991	Homo sapiens (Human)
I3L333	I3L333_HUMAN	CXCL16	Homo sapiens (Human)
Q9H2A7	CXL16_HUMAN	CXCL16 SCYB16 SRPSOX UNQ2759/PRO6714	Homo sapiens (Human)
A0A024RDD9	A0A024RDD9_HUMAN	CXCL2 hCG_16361	Homo sapiens (Human)
P19875	CXCL2_HUMAN	CXCL2 GRO2 GROB MIP2A SCYB2	Homo sapiens (Human)
P19876	CXCL3_HUMAN	CXCL3 GRO3 GROG SCYB3	Homo sapiens (Human)
P42830	CXCL5_HUMAN	CXCL5 ENA78 SCYB5	Homo sapiens (Human)
Q6I9S7	Q6I9S7_HUMAN	CXCL5 hCG_16364	Homo sapiens (Human)
D6RF92	D6RF92_HUMAN	CXCL6	Homo sapiens (Human)
P80162	CXCL6_HUMAN	CXCL6 GCP2 SCYB6	Homo sapiens (Human)
L8E8X0	L8E8X0_HUMAN	CXCL9	Homo sapiens (Human)
Q07325	CXCL9_HUMAN	CXCL9 CMK MIG SCYB9	Homo sapiens (Human)
P25024	CXCR1_HUMAN	CXCR1 CMKAR1 IL8RA	Homo sapiens (Human)
C9J1J7	C9J1J7_HUMAN	CXCR2	Homo sapiens (Human)
C9J2F9	C9J2F9_HUMAN	CXCR2	Homo sapiens (Human)
C9JG19	C9JG19_HUMAN	CXCR2	Homo sapiens (Human)
C9JW47	C9JW47_HUMAN	CXCR2	Homo sapiens (Human)
P25025	CXCR2_HUMAN	CXCR2 IL8RB	Homo sapiens (Human)
Q6LCZ7	Q6LCZ7_HUMAN	CXCR2 IL8RB	Homo sapiens (Human)
A0A0S2Z3W5	A0A0S2Z3W5_HUMAN	CXCR3	Homo sapiens (Human)
A0A0S2Z3W9	A0A0S2Z3W9_HUMAN	CXCR3	Homo sapiens (Human)
P49682	CXCR3_HUMAN	CXCR3 GPR9	Homo sapiens (Human)
A0A0U3FJG0	A0A0U3FJG0_HUMAN	CXCR4	Homo sapiens (Human)
A0A0U3GXA9	A0A0U3GXA9_HUMAN	CXCR4	Homo sapiens (Human)
P61073	CXCR4_HUMAN	CXCR4	Homo sapiens (Human)
Q5MIL4	Q5MIL4_HUMAN	CXCR4	Homo sapiens (Human)
P32302	CXCR5_HUMAN	CXCR5 BLR1 MDR15	Homo sapiens (Human)
Q2YD84	Q2YD84_HUMAN	CXCR5	Homo sapiens (Human)
A0N0N3	A0N0N3_HUMAN	CXCR6 hCG_15326	Homo sapiens (Human)
O00574	CXCR6_HUMAN	CXCR6 BONZO STRL33 TYMSTR	Homo sapiens (Human)
P25106	ACKR3_HUMAN	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	Homo sapiens (Human)
Q9Y271	CLTR1_HUMAN	CYSLTR1 CYSLT1	Homo sapiens (Human)
A0A1B0GXM0	A0A1B0GXM0_HUMAN	CYSLTR2	Homo sapiens (Human)
A4ZKH2	A4ZKH2_HUMAN	CYSLTR2	Homo sapiens (Human)
Q5KU17	Q5KU17_HUMAN	KPG_011 CYSLTR2 hCG_1647464	Homo sapiens (Human)
Q9NS75	CLTR2_HUMAN	CYSLTR2 CYSLT2 CYSLT2R PSEC0146	Homo sapiens (Human)
F5GY58	F5GY58_HUMAN	DAGLA	Homo sapiens (Human)
Q9Y4D2	DGLA_HUMAN	DAGLA C11orf11 KIAA0659 NSDDR	Homo sapiens (Human)
C9JA85	C9JA85_HUMAN	DAGLB	Homo sapiens (Human)
E7ET49	E7ET49_HUMAN	DAGLB	Homo sapiens (Human)
F8WBN0	F8WBN0_HUMAN	DAGLB	Homo sapiens (Human)
Q8NCG7	DGLB_HUMAN	DAGLB	Homo sapiens (Human)
A0A024RB23	A0A024RB23_HUMAN	DGKA hCG_25001	Homo sapiens (Human)
C9JM35	C9JM35_HUMAN	DGKA	Homo sapiens (Human)
F8VNZ9	F8VNZ9_HUMAN	DGKA	Homo sapiens (Human)
F8VWX8	F8VWX8_HUMAN	DGKA	Homo sapiens (Human)
F8W1H7	F8W1H7_HUMAN	DGKA	Homo sapiens (Human)
F8W1M3	F8W1M3_HUMAN	DGKA	Homo sapiens (Human)
G3V312	G3V312_HUMAN	DGKA	Homo sapiens (Human)
G3V327	G3V327_HUMAN	DGKA	Homo sapiens (Human)
G3V4E1	G3V4E1_HUMAN	DGKA	Homo sapiens (Human)
G3V4I3	G3V4I3_HUMAN	DGKA	Homo sapiens (Human)
H0YJE7	H0YJE7_HUMAN	DGKA	Homo sapiens (Human)
H0YJH4	H0YJH4_HUMAN	DGKA	Homo sapiens (Human)
P23743	DGKA_HUMAN	DGKA DAGK DAGK1	Homo sapiens (Human)
B5MBY2	B5MBY2_HUMAN	DGKB	Homo sapiens (Human)
B5MCD5	B5MCD5_HUMAN	DGKB	Homo sapiens (Human)
B7ZL83	B7ZL83_HUMAN	DGKB	Homo sapiens (Human)
C9JA18	C9JA18_HUMAN	DGKB	Homo sapiens (Human)
Q9Y6T7	DGKB_HUMAN	DGKB DAGK2 KIAA0718	Homo sapiens (Human)
A0A024R495	A0A024R495_HUMAN	DGKD hCG_20376	Homo sapiens (Human)
A0A096LNI6	A0A096LNI6_HUMAN	DGKD	Homo sapiens (Human)
C9JY42	C9JY42_HUMAN	DGKD	Homo sapiens (Human)
H7BZR7	H7BZR7_HUMAN	DGKD	Homo sapiens (Human)
H7C0L1	H7C0L1_HUMAN	DGKD	Homo sapiens (Human)
Q16760	DGKD_HUMAN	DGKD KIAA0145	Homo sapiens (Human)
Q53SE4	Q53SE4_HUMAN	DGKD	Homo sapiens (Human)
Q53SV4	Q53SV4_HUMAN	DGKD	Homo sapiens (Human)
A1L4Q0	A1L4Q0_HUMAN	DGKE hCG_32229	Homo sapiens (Human)
I3L112	I3L112_HUMAN	DGKE	Homo sapiens (Human)
I3L2V2	I3L2V2_HUMAN	DGKE	Homo sapiens (Human)
P52429	DGKE_HUMAN	DGKE DAGK5	Homo sapiens (Human)
H7C0L0	H7C0L0_HUMAN	DGKG	Homo sapiens (Human)
P49619	DGKG_HUMAN	DGKG DAGK3	Homo sapiens (Human)
Q2M589	Q2M589_HUMAN	DGKG	Homo sapiens (Human)
A0A087WZ02	A0A087WZ02_HUMAN	DGKH	Homo sapiens (Human)
A0A0D9SF65	A0A0D9SF65_HUMAN	DGKH	Homo sapiens (Human)
A0A0D9SFR6	A0A0D9SFR6_HUMAN	DGKH	Homo sapiens (Human)
Q86XP1	DGKH_HUMAN	DGKH	Homo sapiens (Human)
A0A087WV00	A0A087WV00_HUMAN	DGKI	Homo sapiens (Human)
E7EM72	E7EM72_HUMAN	DGKI	Homo sapiens (Human)
E7EWQ4	E7EWQ4_HUMAN	DGKI	Homo sapiens (Human)
E9PFX6	E9PFX6_HUMAN	DGKI	Homo sapiens (Human)
O75912	DGKI_HUMAN	DGKI	Homo sapiens (Human)
L8EC67	L8EC67_HUMAN	DGKK	Homo sapiens (Human)
Q5KSL6	DGKK_HUMAN	DGKK	Homo sapiens (Human)
D6RJB4	D6RJB4_HUMAN	DGKQ	Homo sapiens (Human)
H0Y8Q7	H0Y8Q7_HUMAN	DGKQ	Homo sapiens (Human)
H0YA20	H0YA20_HUMAN	DGKQ	Homo sapiens (Human)
P52824	DGKQ_HUMAN	DGKQ DAGK4	Homo sapiens (Human)
P21728	DRD1_HUMAN	DRD1	Homo sapiens (Human)
Q6FH34	Q6FH34_HUMAN	DRD1	Homo sapiens (Human)
A0A024R3C5	A0A024R3C5_HUMAN	DRD2 hCG_39593	Homo sapiens (Human)
A0A024R3I6	A0A024R3I6_HUMAN	DRD2 hCG_39593	Homo sapiens (Human)
A0A1Y8EK52	A0A1Y8EK52_HUMAN	DRD2	Homo sapiens (Human)
A0A220XIT2	A0A220XIT2_HUMAN	DRD2	Homo sapiens (Human)
B5BUP4	B5BUP4_HUMAN	DRD2	Homo sapiens (Human)
F8VUV1	F8VUV1_HUMAN	DRD2	Homo sapiens (Human)
P14416	DRD2_HUMAN	DRD2	Homo sapiens (Human)
Q6LDH7	Q6LDH7_HUMAN	DRD2	Homo sapiens (Human)
A1A4V4	A1A4V4_HUMAN	DRD3	Homo sapiens (Human)
E9PCM4	E9PCM4_HUMAN	DRD3	Homo sapiens (Human)
P35462	DRD3_HUMAN	DRD3	Homo sapiens (Human)
Q13167	Q13167_HUMAN	DRD3	Homo sapiens (Human)
Q9BXX6	Q9BXX6_HUMAN	DRD3	Homo sapiens (Human)
Q9NY31	Q9NY31_HUMAN	DRD3	Homo sapiens (Human)
X5D2G4	X5D2G4_HUMAN	DRD3	Homo sapiens (Human)
X5DP70	X5DP70_HUMAN	DRD3	Homo sapiens (Human)
P21918	DRD5_HUMAN	DRD5 DRD1B DRD1L2	Homo sapiens (Human)
C9J0L6	C9J0L6_HUMAN	ECT2	Homo sapiens (Human)
C9J1C4	C9J1C4_HUMAN	ECT2	Homo sapiens (Human)
C9JB41	C9JB41_HUMAN	ECT2	Homo sapiens (Human)
C9JDB4	C9JDB4_HUMAN	ECT2	Homo sapiens (Human)
C9JDV9	C9JDV9_HUMAN	ECT2	Homo sapiens (Human)
C9JTI2	C9JTI2_HUMAN	ECT2	Homo sapiens (Human)
H7C103	H7C103_HUMAN	ECT2	Homo sapiens (Human)
