yourlist:M201803228A530B6CA0138AFAA6D2B97CE8C2A924102F3CB	Entry	Entry name	Gene names	Organism
P20585	P20585	MSH3_HUMAN	MSH3 DUC1 DUG	Homo sapiens (Human)
Q13472	Q13472	TOP3A_HUMAN	TOP3A TOP3	Homo sapiens (Human)
P35249	P35249	RFC4_HUMAN	RFC4	Homo sapiens (Human)
P43246	P43246	MSH2_HUMAN	MSH2	Homo sapiens (Human)
P40937	P40937	RFC5_HUMAN	RFC5	Homo sapiens (Human)
Q9BVW5	Q9BVW5	TIPIN_HUMAN	TIPIN	Homo sapiens (Human)
P35250	P35250	RFC2_HUMAN	RFC2	Homo sapiens (Human)
P09884	P09884	DPOLA_HUMAN	POLA1 POLA	Homo sapiens (Human)
O15457	O15457	MSH4_HUMAN	MSH4	Homo sapiens (Human)
O60921	O60921	HUS1_HUMAN	HUS1	Homo sapiens (Human)
P13598	P13598	ICAM2_HUMAN	ICAM2	Homo sapiens (Human)
O15304	O15304	SIVA_HUMAN	SIVA1 SIVA	Homo sapiens (Human)
P32970	P32970	CD70_HUMAN	CD70 CD27L CD27LG TNFSF7	Homo sapiens (Human)
P13647	P13647	K2C5_HUMAN	KRT5	Homo sapiens (Human)
P02533	P02533	K1C14_HUMAN	KRT14	Homo sapiens (Human)
P40855	P40855	PEX19_HUMAN	PEX19 HK33 PXF OK/SW-cl.22	Homo sapiens (Human)
P56589	P56589	PEX3_HUMAN	PEX3	Homo sapiens (Human)
O43808	O43808	PM34_HUMAN	SLC25A17 PMP34	Homo sapiens (Human)
O75192	O75192	PX11A_HUMAN	PEX11A PEX11	Homo sapiens (Human)
P28288	P28288	ABCD3_HUMAN	ABCD3 PMP70 PXMP1	Homo sapiens (Human)
O75533	O75533	SF3B1_HUMAN	SF3B1 SAP155	Homo sapiens (Human)
Q15233	Q15233	NONO_HUMAN	NONO NRB54	Homo sapiens (Human)
P15172	P15172	MYOD1_HUMAN	MYOD1 BHLHC1 MYF3 MYOD	Homo sapiens (Human)
P15173	P15173	MYOG_HUMAN	MYOG BHLHC3 MYF4	Homo sapiens (Human)
P50553	P50553	ASCL1_HUMAN	ASCL1 ASH1 BHLHA46 HASH1	Homo sapiens (Human)
Q9NR83	Q9NR83	S2A4R_HUMAN	SLC2A4RG HDBP1	Homo sapiens (Human)
Q9Y463	Q9Y463	DYR1B_HUMAN	DYRK1B MIRK	Homo sapiens (Human)
Q9NZJ0	Q9NZJ0	DTL_HUMAN	DTL CDT2 CDW1 DCAF2 L2DTL RAMP	Homo sapiens (Human)
Q9UK53	Q9UK53	ING1_HUMAN	ING1	Homo sapiens (Human)
Q9P1Z0	Q9P1Z0	ZBTB4_HUMAN	ZBTB4 KIAA1538	Homo sapiens (Human)
P24522	P24522	GA45A_HUMAN	GADD45A DDIT1 GADD45	Homo sapiens (Human)
O15123	O15123	ANGP2_HUMAN	ANGPT2	Homo sapiens (Human)
Q5VTD9	Q5VTD9	GFI1B_HUMAN	GFI1B	Homo sapiens (Human)
Q13200	Q13200	PSMD2_HUMAN	PSMD2 TRAP2	Homo sapiens (Human)
P25788	P25788	PSA3_HUMAN	PSMA3 HC8 PSC8	Homo sapiens (Human)
O96020	O96020	CCNE2_HUMAN	CCNE2	Homo sapiens (Human)
Q9P287	Q9P287	BCCIP_HUMAN	BCCIP TOK1	Homo sapiens (Human)
P78396	P78396	CCNA1_HUMAN	CCNA1	Homo sapiens (Human)
Q13562	Q13562	NDF1_HUMAN	NEUROD1 BHLHA3 NEUROD	Homo sapiens (Human)
P42704	P42704	LPPRC_HUMAN	LRPPRC LRP130	Homo sapiens (Human)
P23508	P23508	CRCM_HUMAN	MCC	Homo sapiens (Human)
O95602	O95602	RPA1_HUMAN	POLR1A	Homo sapiens (Human)
P46199	P46199	IF2M_HUMAN	MTIF2	Homo sapiens (Human)
P55072	P55072	TERA_HUMAN	VCP	Homo sapiens (Human)
P49005	P49005	DPOD2_HUMAN	POLD2	Homo sapiens (Human)
P60896	P60896	SEM1_HUMAN	SEM1 C7orf76 DSS1 SHFDG1 SHFM1	Homo sapiens (Human)
O43542	O43542	XRCC3_HUMAN	XRCC3	Homo sapiens (Human)
O60566	O60566	BUB1B_HUMAN	BUB1B BUBR1 MAD3L SSK1	Homo sapiens (Human)
Q8NEM0	Q8NEM0	MCPH1_HUMAN	MCPH1	Homo sapiens (Human)
P31785	P31785	IL2RG_HUMAN	IL2RG	Homo sapiens (Human)
O60684	O60684	IMA7_HUMAN	KPNA6 IPOA7	Homo sapiens (Human)
P38484	P38484	INGR2_HUMAN	IFNGR2 IFNGT1	Homo sapiens (Human)
P52294	P52294	IMA5_HUMAN	KPNA1 RCH2	Homo sapiens (Human)
Q6UWB1	Q6UWB1	I27RA_HUMAN	IL27RA CRL1 TCCR WSX1 UNQ296/PRO336	Homo sapiens (Human)
A1A5B4	A1A5B4	ANO9_HUMAN	ANO9 PIG5 TMEM16J TP53I5	Homo sapiens (Human)
P41134	P41134	ID1_HUMAN	ID1 BHLHB24 ID	Homo sapiens (Human)
Q7RTS3	Q7RTS3	PTF1A_HUMAN	PTF1A BHLHA29 PTF1P48	Homo sapiens (Human)
Q8WZ42	Q8WZ42	TITIN_HUMAN	TTN	Homo sapiens (Human)
Q15942	Q15942	ZYX_HUMAN	ZYX	Homo sapiens (Human)
Q8WX93	Q8WX93	PALLD_HUMAN	PALLD KIAA0992 CGI-151	Homo sapiens (Human)
O00151	O00151	PDLI1_HUMAN	PDLIM1 CLIM1 CLP36	Homo sapiens (Human)
O94875	O94875	SRBS2_HUMAN	SORBS2 ARGBP2 KIAA0777	Homo sapiens (Human)
P21291	P21291	CSRP1_HUMAN	CSRP1 CSRP CYRP	Homo sapiens (Human)
Q93052	Q93052	LPP_HUMAN	LPP	Homo sapiens (Human)
Q9Y2D8	Q9Y2D8	ADIP_HUMAN	SSX2IP KIAA0923	Homo sapiens (Human)
Q9UGI8	Q9UGI8	TES_HUMAN	TES	Homo sapiens (Human)
Q5TKA1	Q5TKA1	LIN9_HUMAN	LIN9 BARA TGS	Homo sapiens (Human)
O43463	O43463	SUV91_HUMAN	SUV39H1 KMT1A SUV39H	Homo sapiens (Human)
Q6MZP7	Q6MZP7	LIN54_HUMAN	LIN54 CXCDC1 KIAA2037	Homo sapiens (Human)
P28340	P28340	DPOD1_HUMAN	POLD1 POLD	Homo sapiens (Human)
Q15054	Q15054	DPOD3_HUMAN	POLD3 KIAA0039	Homo sapiens (Human)
Q9HCU8	Q9HCU8	DPOD4_HUMAN	POLD4 POLDS	Homo sapiens (Human)
O14737	O14737	PDCD5_HUMAN	PDCD5 TFAR19	Homo sapiens (Human)
Q96T88	Q96T88	UHRF1_HUMAN	UHRF1 ICBP90 NP95 RNF106	Homo sapiens (Human)
P14635	P14635	CCNB1_HUMAN	CCNB1 CCNB	Homo sapiens (Human)
P54829	P54829	PTN5_HUMAN	PTPN5	Homo sapiens (Human)
P45880	P45880	VDAC2_HUMAN	VDAC2	Homo sapiens (Human)
O75807	O75807	PR15A_HUMAN	PPP1R15A GADD34	Homo sapiens (Human)
O15392	O15392	BIRC5_HUMAN	BIRC5 API4 IAP4	Homo sapiens (Human)
O15294	O15294	OGT1_HUMAN	OGT	Homo sapiens (Human)
Q96AV8	Q96AV8	E2F7_HUMAN	E2F7	Homo sapiens (Human)
P39687	P39687	AN32A_HUMAN	ANP32A C15orf1 LANP MAPM PHAP1	Homo sapiens (Human)
P15531	P15531	NDKA_HUMAN	NME1 NDPKA NM23	Homo sapiens (Human)
P22626	P22626	ROA2_HUMAN	HNRNPA2B1 HNRPA2B1	Homo sapiens (Human)
P26583	P26583	HMGB2_HUMAN	HMGB2 HMG2	Homo sapiens (Human)
Q9Y6X0	Q9Y6X0	SETBP_HUMAN	SETBP1 KIAA0437	Homo sapiens (Human)
Q13568	Q13568	IRF5_HUMAN	IRF5	Homo sapiens (Human)
P23588	P23588	IF4B_HUMAN	EIF4B	Homo sapiens (Human)
Q8IW41	Q8IW41	MAPK5_HUMAN	MAPKAPK5 PRAK	Homo sapiens (Human)
Q9NRA8	Q9NRA8	4ET_HUMAN	EIF4ENIF1	Homo sapiens (Human)
O00571	O00571	DDX3X_HUMAN	DDX3X DBX DDX3	Homo sapiens (Human)
Q13542	Q13542	4EBP2_HUMAN	EIF4EBP2	Homo sapiens (Human)
Q8IWZ3	Q8IWZ3	ANKH1_HUMAN	ANKHD1 KIAA1085 MASK VBARP PP2500	Homo sapiens (Human)
O60516	O60516	4EBP3_HUMAN	EIF4EBP3	Homo sapiens (Human)
Q9BXL6	Q9BXL6	CAR14_HUMAN	CARD14 CARMA2	Homo sapiens (Human)
O00231	O00231	PSD11_HUMAN	PSMD11	Homo sapiens (Human)
O00487	O00487	PSDE_HUMAN	PSMD14 POH1	Homo sapiens (Human)
O15055	O15055	PER2_HUMAN	PER2 KIAA0347	Homo sapiens (Human)
P20393	P20393	NR1D1_HUMAN	NR1D1 EAR1 HREV THRAL	Homo sapiens (Human)
O14503	O14503	BHE40_HUMAN	BHLHE40 BHLHB2 DEC1 SHARP2 STRA13	Homo sapiens (Human)
Q16526	Q16526	CRY1_HUMAN	CRY1 PHLL1	Homo sapiens (Human)
P56645	P56645	PER3_HUMAN	PER3 GIG13	Homo sapiens (Human)
Q14995	Q14995	NR1D2_HUMAN	NR1D2	Homo sapiens (Human)
Q92753	Q92753	RORB_HUMAN	RORB NR1F2 RZRB	Homo sapiens (Human)
P51449	P51449	RORG_HUMAN	RORC NR1F3 RORG RZRG	Homo sapiens (Human)
P51608	P51608	MECP2_HUMAN	MECP2	Homo sapiens (Human)
Q96T58	Q96T58	MINT_HUMAN	SPEN KIAA0929 MINT SHARP	Homo sapiens (Human)
Q13642	Q13642	FHL1_HUMAN	FHL1 SLIM1	Homo sapiens (Human)
Q86X95	Q86X95	CIR1_HUMAN	CIR1 CIR	Homo sapiens (Human)
Q96JK9	Q96JK9	MAML3_HUMAN	MAML3 KIAA1816	Homo sapiens (Human)
Q8IZL2	Q8IZL2	MAML2_HUMAN	MAML2 KIAA1819	Homo sapiens (Human)
Q12948	Q12948	FOXC1_HUMAN	FOXC1 FKHL7 FREAC3	Homo sapiens (Human)
Q96K30	Q96K30	RITA1_HUMAN	RITA1 C12orf52 RITA PSEC0043	Homo sapiens (Human)
Q9Y5P8	Q9Y5P8	P2R3B_HUMAN	PPP2R3B PPP2R3L	Homo sapiens (Human)
Q8IZJ1	Q8IZJ1	UNC5B_HUMAN	UNC5B P53RDL1 UNC5H2 UNQ1883/PRO4326	Homo sapiens (Human)
P34947	P34947	GRK5_HUMAN	GRK5 GPRK5	Homo sapiens (Human)
Q15185	Q15185	TEBP_HUMAN	PTGES3 P23 TEBP	Homo sapiens (Human)
O95433	O95433	AHSA1_HUMAN	AHSA1 C14orf3 HSPC322	Homo sapiens (Human)
Q9BQI3	Q9BQI3	E2AK1_HUMAN	EIF2AK1 HRI KIAA1369 PRO1362	Homo sapiens (Human)
P29474	P29474	NOS3_HUMAN	NOS3	Homo sapiens (Human)
Q9NZJ5	Q9NZJ5	E2AK3_HUMAN	EIF2AK3 PEK PERK	Homo sapiens (Human)
Q96P20	Q96P20	NLRP3_HUMAN	NLRP3 C1orf7 CIAS1 NALP3 PYPAF1	Homo sapiens (Human)
Q02790	Q02790	FKBP4_HUMAN	FKBP4 FKBP52	Homo sapiens (Human)
Q71U36	Q71U36	TBA1A_HUMAN	TUBA1A TUBA3	Homo sapiens (Human)
P31948	P31948	STIP1_HUMAN	STIP1	Homo sapiens (Human)
Q9NRG4	Q9NRG4	SMYD2_HUMAN	SMYD2 KMT3C	Homo sapiens (Human)
P43034	P43034	LIS1_HUMAN	PAFAH1B1 LIS1 MDCR MDS PAFAHA	Homo sapiens (Human)
Q99615	Q99615	DNJC7_HUMAN	DNAJC7 TPR2 TTC2	Homo sapiens (Human)
Q07002	Q07002	CDK18_HUMAN	CDK18 PCTAIRE3 PCTK3	Homo sapiens (Human)
Q7L3B6	Q7L3B6	CD37L_HUMAN	CDC37L1 CDC37B HARC	Homo sapiens (Human)
O94966	O94966	UBP19_HUMAN	USP19 KIAA0891 ZMYND9	Homo sapiens (Human)
Q96Q40	Q96Q40	CDK15_HUMAN	CDK15 ALS2CR7 PFTK2	Homo sapiens (Human)
Q9UBF6	Q9UBF6	RBX2_HUMAN	RNF7 RBX2 ROC2 SAG	Homo sapiens (Human)
P61081	P61081	UBC12_HUMAN	UBE2M UBC12	Homo sapiens (Human)
Q9UK73	Q9UK73	FEM1B_HUMAN	FEM1B F1AA KIAA0396	Homo sapiens (Human)
P31151	P31151	S10A7_HUMAN	S100A7 PSOR1 S100A7C	Homo sapiens (Human)
P14174	P14174	MIF_HUMAN	MIF GLIF MMIF	Homo sapiens (Human)
Q9UNS2	Q9UNS2	CSN3_HUMAN	COPS3 CSN3	Homo sapiens (Human)
Q13098	Q13098	CSN1_HUMAN	GPS1 COPS1 CSN1	Homo sapiens (Human)
Q9UBW8	Q9UBW8	CSN7A_HUMAN	COPS7A CSN7A DERP10	Homo sapiens (Human)
Q9H9Q2	Q9H9Q2	CSN7B_HUMAN	COPS7B CSN7B	Homo sapiens (Human)
Q99627	Q99627	CSN8_HUMAN	COPS8 CSN8	Homo sapiens (Human)
Q9BT78	Q9BT78	CSN4_HUMAN	COPS4 CSN4	Homo sapiens (Human)
Q9UHY1	Q9UHY1	NRBP_HUMAN	NRBP1 BCON3 NRBP	Homo sapiens (Human)
P55789	P55789	ALR_HUMAN	GFER ALR HERV1 HPO	Homo sapiens (Human)
P46934	P46934	NEDD4_HUMAN	NEDD4 KIAA0093 NEDD4-1 PIG53	Homo sapiens (Human)
Q9NZN5	Q9NZN5	ARHGC_HUMAN	ARHGEF12 KIAA0382 LARG	Homo sapiens (Human)
P33993	P33993	MCM7_HUMAN	MCM7 CDC47 MCM2	Homo sapiens (Human)
Q9UM11	Q9UM11	FZR1_HUMAN	FZR1 CDH1 FYR FZR KIAA1242	Homo sapiens (Human)
O75496	O75496	GEMI_HUMAN	GMNN	Homo sapiens (Human)
P25205	P25205	MCM3_HUMAN	MCM3	Homo sapiens (Human)
Q9H211	Q9H211	CDT1_HUMAN	CDT1	Homo sapiens (Human)
P49736	P49736	MCM2_HUMAN	MCM2 BM28 CCNL1 CDCL1 KIAA0030	Homo sapiens (Human)
Q13416	Q13416	ORC2_HUMAN	ORC2 ORC2L	Homo sapiens (Human)
Q13415	Q13415	ORC1_HUMAN	ORC1 ORC1L PARC1	Homo sapiens (Human)
O43913	O43913	ORC5_HUMAN	ORC5 ORC5L	Homo sapiens (Human)
Q14566	Q14566	MCM6_HUMAN	MCM6	Homo sapiens (Human)
Q9UBD5	Q9UBD5	ORC3_HUMAN	ORC3 LATHEO ORC3L	Homo sapiens (Human)
Q9Y5N6	Q9Y5N6	ORC6_HUMAN	ORC6 ORC6L	Homo sapiens (Human)
P11801	P11801	KPSH1_HUMAN	PSKH1	Homo sapiens (Human)
P33992	P33992	MCM5_HUMAN	MCM5 CDC46	Homo sapiens (Human)
P41002	P41002	CCNF_HUMAN	CCNF FBX1 FBXO1	Homo sapiens (Human)
Q13347	Q13347	EIF3I_HUMAN	EIF3I EIF3S2 TRIP1	Homo sapiens (Human)
P17931	P17931	LEG3_HUMAN	LGALS3 MAC2	Homo sapiens (Human)
P33981	P33981	TTK_HUMAN	TTK MPS1 MPS1L1	Homo sapiens (Human)
Q9NXR7	Q9NXR7	BABA2_HUMAN	BABAM2 BRCC45 BRE	Homo sapiens (Human)
P09382	P09382	LEG1_HUMAN	LGALS1	Homo sapiens (Human)
Q9HCP0	Q9HCP0	KC1G1_HUMAN	CSNK1G1	Homo sapiens (Human)
Q92837	Q92837	FRAT1_HUMAN	FRAT1	Homo sapiens (Human)
Q9UJX6	Q9UJX6	ANC2_HUMAN	ANAPC2 APC2 KIAA1406	Homo sapiens (Human)
P25116	P25116	PAR1_HUMAN	F2R CF2R PAR1 TR	Homo sapiens (Human)
Q969F2	Q969F2	NKD2_HUMAN	NKD2	Homo sapiens (Human)
Q9H2H0	Q9H2H0	CXXC4_HUMAN	CXXC4 IDAX	Homo sapiens (Human)
Q9Y283	Q9Y283	INVS_HUMAN	INVS INV NPHP2	Homo sapiens (Human)
Q76N89	Q76N89	HECW1_HUMAN	HECW1 KIAA0322 NEDL1	Homo sapiens (Human)
Q14315	Q14315	FLNC_HUMAN	FLNC ABPL FLN2	Homo sapiens (Human)
Q9UKT4	Q9UKT4	FBX5_HUMAN	FBXO5 EMI1 FBX5	Homo sapiens (Human)
P55060	P55060	XPO2_HUMAN	CSE1L CAS XPO2	Homo sapiens (Human)
Q13042	Q13042	CDC16_HUMAN	CDC16 ANAPC6	Homo sapiens (Human)
P22223	P22223	CADH3_HUMAN	CDH3 CDHP	Homo sapiens (Human)
Q9UJX2	Q9UJX2	CDC23_HUMAN	CDC23 ANAPC8	Homo sapiens (Human)
Q9UJX3	Q9UJX3	APC7_HUMAN	ANAPC7 APC7	Homo sapiens (Human)
Q75N03	Q75N03	HAKAI_HUMAN	CBLL1 HAKAI RNF188	Homo sapiens (Human)
Q03113	Q03113	GNA12_HUMAN	GNA12	Homo sapiens (Human)
Q9NYG5	Q9NYG5	APC11_HUMAN	ANAPC11 HSPC214	Homo sapiens (Human)
Q8N752	Q8N752	KC1AL_HUMAN	CSNK1A1L	Homo sapiens (Human)
Q9H1A4	Q9H1A4	APC1_HUMAN	ANAPC1 TSG24	Homo sapiens (Human)
Q8IUQ4	Q8IUQ4	SIAH1_HUMAN	SIAH1 HUMSIAH	Homo sapiens (Human)
P49789	P49789	FHIT_HUMAN	FHIT	Homo sapiens (Human)
O14745	O14745	NHRF1_HUMAN	SLC9A3R1 NHERF NHERF1	Homo sapiens (Human)
Q6IE81	Q6IE81	JADE1_HUMAN	JADE1 KIAA1807 PHF17	Homo sapiens (Human)
Q9Y3M2	Q9Y3M2	CBY1_HUMAN	CBY1 ARB1 C22orf2 CBY PGEA1 HRIHFB2025	Homo sapiens (Human)
Q15262	Q15262	PTPRK_HUMAN	PTPRK PTPK	Homo sapiens (Human)
P28827	P28827	PTPRM_HUMAN	PTPRM PTPRL1	Homo sapiens (Human)
Q15678	Q15678	PTN14_HUMAN	PTPN14 PEZ PTPD2	Homo sapiens (Human)
Q92729	Q92729	PTPRU_HUMAN	PTPRU FMI PCP2 PTPRO	Homo sapiens (Human)
P63146	P63146	UBE2B_HUMAN	UBE2B RAD6B	Homo sapiens (Human)
O94907	O94907	DKK1_HUMAN	DKK1 UNQ492/PRO1008	Homo sapiens (Human)
Q9UI14	Q9UI14	PRAF1_HUMAN	RABAC1 PRA1 PRAF1	Homo sapiens (Human)
Q14574	Q14574	DSC3_HUMAN	DSC3 CDHF3 DSC4	Homo sapiens (Human)
Q9H6I2	Q9H6I2	SOX17_HUMAN	SOX17	Homo sapiens (Human)
Q9HCK8	Q9HCK8	CHD8_HUMAN	CHD8 HELSNF1 KIAA1564	Homo sapiens (Human)
Q32MZ4	Q32MZ4	LRRF1_HUMAN	LRRFIP1 GCF2 TRIP	Homo sapiens (Human)
O00512	O00512	BCL9_HUMAN	BCL9	Homo sapiens (Human)
Q86UP0	Q86UP0	CAD24_HUMAN	CDH24 CDH11L UNQ2834/PRO34009	Homo sapiens (Human)
Q9Y2T1	Q9Y2T1	AXIN2_HUMAN	AXIN2	Homo sapiens (Human)
Q86UU0	Q86UU0	BCL9L_HUMAN	BCL9L DLNB11	Homo sapiens (Human)
P55291	P55291	CAD15_HUMAN	CDH15 CDH14 CDH3	Homo sapiens (Human)
P55286	P55286	CADH8_HUMAN	CDH8	Homo sapiens (Human)
Q13308	Q13308	PTK7_HUMAN	PTK7 CCK4	Homo sapiens (Human)
P23470	P23470	PTPRG_HUMAN	PTPRG PTPG	Homo sapiens (Human)
O75309	O75309	CAD16_HUMAN	CDH16 UNQ695/PRO1340	Homo sapiens (Human)
P41225	P41225	SOX3_HUMAN	SOX3	Homo sapiens (Human)
Q9Y6N8	Q9Y6N8	CAD10_HUMAN	CDH10	Homo sapiens (Human)
Q9HCS4	Q9HCS4	TF7L1_HUMAN	TCF7L1 TCF3	Homo sapiens (Human)
Q9NSA3	Q9NSA3	CNBP1_HUMAN	CTNNBIP1 ICAT	Homo sapiens (Human)
Q9ULB4	Q9ULB4	CADH9_HUMAN	CDH9	Homo sapiens (Human)
Q9ULB5	Q9ULB5	CADH7_HUMAN	CDH7 CDH7L1	Homo sapiens (Human)
Q9Y3Y4	Q9Y3Y4	PYGO1_HUMAN	PYGO1	Homo sapiens (Human)
Q5JTC6	Q5JTC6	AMER1_HUMAN	AMER1 FAM123B WTX	Homo sapiens (Human)
P49916	P49916	DNLI3_HUMAN	LIG3	Homo sapiens (Human)
P05362	P05362	ICAM1_HUMAN	ICAM1	Homo sapiens (Human)
P17936	P17936	IBP3_HUMAN	IGFBP3 IBP3	Homo sapiens (Human)
Q92529	Q92529	SHC3_HUMAN	SHC3 NSHC SHCC	Homo sapiens (Human)
Q9ULV8	Q9ULV8	CBLC_HUMAN	CBLC CBL3 RNF57	Homo sapiens (Human)
P15941	P15941	MUC1_HUMAN	MUC1 PUM	Homo sapiens (Human)
P19544	P19544	WT1_HUMAN	WT1	Homo sapiens (Human)
Q13671	Q13671	RIN1_HUMAN	RIN1	Homo sapiens (Human)
P60880	P60880	SNP25_HUMAN	SNAP25 SNAP	Homo sapiens (Human)
Q99962	Q99962	SH3G2_HUMAN	SH3GL2 CNSA2 SH3D2A	Homo sapiens (Human)
Q9UJM3	Q9UJM3	ERRFI_HUMAN	ERRFI1 MIG6	Homo sapiens (Human)
Q13332	Q13332	PTPRS_HUMAN	PTPRS	Homo sapiens (Human)
Q8WUM4	Q8WUM4	PDC6I_HUMAN	PDCD6IP AIP1 ALIX KIAA1375	Homo sapiens (Human)
Q96B97	Q96B97	SH3K1_HUMAN	SH3KBP1 CIN85	Homo sapiens (Human)
Q9Y5X1	Q9Y5X1	SNX9_HUMAN	SNX9 SH3PX1 SH3PXD3A	Homo sapiens (Human)
P15514	P15514	AREG_HUMAN	AREG AREGB SDGF	Homo sapiens (Human)
P01135	P01135	TGFA_HUMAN	TGFA	Homo sapiens (Human)
P35070	P35070	BTC_HUMAN	BTC	Homo sapiens (Human)
Q96JA1	Q96JA1	LRIG1_HUMAN	LRIG1 LIG1	Homo sapiens (Human)
Q99075	Q99075	HBEGF_HUMAN	HBEGF DTR DTS HEGFL	Homo sapiens (Human)
P40818	P40818	UBP8_HUMAN	USP8 KIAA0055 UBPY	Homo sapiens (Human)
O14944	O14944	EREG_HUMAN	EREG	Homo sapiens (Human)
Q6S5L8	Q6S5L8	SHC4_HUMAN	SHC4 SHCD UNQ6438/PRO21364	Homo sapiens (Human)
Q8IZV2	Q8IZV2	CKLF8_HUMAN	CMTM8 CKLFSF8	Homo sapiens (Human)
O75791	O75791	GRAP2_HUMAN	GRAP2 GADS GRB2L GRID	Homo sapiens (Human)
Q6UW88	Q6UW88	EPGN_HUMAN	EPGN UNQ3072/PRO9904	Homo sapiens (Human)
Q99527	Q99527	GPER1_HUMAN	GPER1 CEPR CMKRL2 DRY12 GPER GPR30	Homo sapiens (Human)
Q8WUA4	Q8WUA4	TF3C2_HUMAN	GTF3C2 KIAA0011	Homo sapiens (Human)
Q92664	Q92664	TF3A_HUMAN	GTF3A	Homo sapiens (Human)
Q12789	Q12789	TF3C1_HUMAN	GTF3C1	Homo sapiens (Human)
P17096	P17096	HMGA1_HUMAN	HMGA1 HMGIY	Homo sapiens (Human)
P36956	P36956	SRBP1_HUMAN	SREBF1 BHLHD1 SREBP1	Homo sapiens (Human)
P36507	P36507	MP2K2_HUMAN	MAP2K2 MEK2 MKK2 PRKMK2	Homo sapiens (Human)
Q9HAZ2	Q9HAZ2	PRD16_HUMAN	PRDM16 KIAA1675 MEL1 PFM13	Homo sapiens (Human)
O75448	O75448	MED24_HUMAN	MED24 ARC100 CRSP4 DRIP100 KIAA0130 THRAP4 TRAP100	Homo sapiens (Human)
Q9H0E9	Q9H0E9	BRD8_HUMAN	BRD8 SMAP SMAP2	Homo sapiens (Human)
P01563	P01563	IFNA2_HUMAN	IFNA2 IFNA2A IFNA2B IFNA2C	Homo sapiens (Human)
P32881	P32881	IFNA8_HUMAN	IFNA8	Homo sapiens (Human)
P01562	P01562	IFNA1_HUMAN	IFNA1; IFNA13	Homo sapiens (Human)
P05000	P05000	IFNW1_HUMAN	IFNW1	Homo sapiens (Human)
P01571	P01571	IFN17_HUMAN	IFNA17	Homo sapiens (Human)
P62805	P62805	H4_HUMAN	HIST1H4A H4/A H4FA; HIST1H4B H4/I H4FI; HIST1H4C H4/G H4FG; HIST1H4D H4/B H4FB; HIST1H4E H4/J H4FJ; HIST1H4F H4/C H4FC; HIST1H4H H4/H H4FH; HIST1H4I H4/M H4FM; HIST1H4J H4/E H4FE; HIST1H4K H4/D H4FD; HIST1H4L H4/K H4FK; HIST2H4A H4/N H4F2 H4FN HIST2H4; HIST2H4B H4/O H4FO; HIST4H4	Homo sapiens (Human)
Q71DI3	Q71DI3	H32_HUMAN	HIST2H3A; HIST2H3C H3F2 H3FM; HIST2H3D	Homo sapiens (Human)
Q96GY3	Q96GY3	LIN37_HUMAN	LIN37 MSTP064	Homo sapiens (Human)
Q9BTC8	Q9BTC8	MTA3_HUMAN	MTA3 KIAA1266	Homo sapiens (Human)
Q92547	Q92547	TOPB1_HUMAN	TOPBP1 KIAA0259	Homo sapiens (Human)
P35232	P35232	PHB_HUMAN	PHB	Homo sapiens (Human)
Q8N726	Q8N726	ARF_HUMAN	CDKN2A CDKN2 MLM	Homo sapiens (Human)
Q99856	Q99856	ARI3A_HUMAN	ARID3A DRIL1 DRIL3 DRX E2FBP1	Homo sapiens (Human)
Q14526	Q14526	HIC1_HUMAN	HIC1 ZBTB29	Homo sapiens (Human)
Q9BXL8	Q9BXL8	CDCA4_HUMAN	CDCA4 HEPP	Homo sapiens (Human)
Q75NE6	Q75NE6	MIRH1_HUMAN	MIR17HG C13orf25 MIRH1 MIRHG1	Homo sapiens (Human)
O15162	O15162	PLS1_HUMAN	PLSCR1	Homo sapiens (Human)
Q16832	Q16832	DDR2_HUMAN	DDR2 NTRKR3 TKT TYRO10	Homo sapiens (Human)
Q16288	Q16288	NTRK3_HUMAN	NTRK3 TRKC	Homo sapiens (Human)
O15357	O15357	SHIP2_HUMAN	INPPL1 SHIP2	Homo sapiens (Human)
Q12929	Q12929	EPS8_HUMAN	EPS8	Homo sapiens (Human)
P60568	P60568	IL2_HUMAN	IL2	Homo sapiens (Human)
P15248	P15248	IL9_HUMAN	IL9	Homo sapiens (Human)
Q9HAW4	Q9HAW4	CLSPN_HUMAN	CLSPN	Homo sapiens (Human)
Q9UKI8	Q9UKI8	TLK1_HUMAN	TLK1 KIAA0137	Homo sapiens (Human)
Q8NHY5	Q8NHY5	HUS1B_HUMAN	HUS1B	Homo sapiens (Human)
O43683	O43683	BUB1_HUMAN	BUB1 BUB1L	Homo sapiens (Human)
Q9Y6Q5	Q9Y6Q5	AP1M2_HUMAN	AP1M2	Homo sapiens (Human)
P56377	P56377	AP1S2_HUMAN	AP1S2 DC22	Homo sapiens (Human)
P61966	P61966	AP1S1_HUMAN	AP1S1 AP19 CLAPS1	Homo sapiens (Human)
P84085	P84085	ARF5_HUMAN	ARF5	Homo sapiens (Human)
P32004	P32004	L1CAM_HUMAN	L1CAM CAML1 MIC5	Homo sapiens (Human)
Q9P289	Q9P289	STK26_HUMAN	STK26 MASK MST4	Homo sapiens (Human)
P19320	P19320	VCAM1_HUMAN	VCAM1	Homo sapiens (Human)
P13861	P13861	KAP2_HUMAN	PRKAR2A PKR2 PRKAR2	Homo sapiens (Human)
